wl,n,k
7.04E-01,3.36E+00,2.17E-01
7.06E-01,3.36E+00,2.15E-01
7.08E-01,3.35E+00,2.14E-01
7.10E-01,3.35E+00,2.13E-01
7.12E-01,3.35E+00,2.12E-01
7.14E-01,3.35E+00,2.10E-01
7.16E-01,3.35E+00,2.09E-01
7.18E-01,3.35E+00,2.07E-01
7.20E-01,3.35E+00,2.06E-01
7.22E-01,3.35E+00,2.05E-01
7.24E-01,3.35E+00,2.03E-01
7.26E-01,3.35E+00,2.02E-01
7.28E-01,3.35E+00,2.01E-01
7.30E-01,3.35E+00,1.99E-01
7.32E-01,3.35E+00,1.98E-01
7.34E-01,3.34E+00,1.97E-01
7.36E-01,3.34E+00,1.95E-01
7.38E-01,3.34E+00,1.94E-01
7.40E-01,3.34E+00,1.93E-01
7.42E-01,3.34E+00,1.92E-01
0.744,3.3397,0.19073
0.746,3.33891,0.18965
0.748,3.33816,0.18855
0.75,3.33744,0.18744
0.752,3.33675,0.18635
0.754,3.33607,0.18524
0.756,3.33539,0.18409
0.758,3.3347,0.18289
0.76,3.334,0.18165
0.762,3.33326,0.18042
0.764,3.33249,0.17921
0.766,3.33171,0.17803
0.768,3.33092,0.1769
0.77,3.33016,0.17581
0.772,3.32941,0.17473
0.774,3.32867,0.17363
0.776,3.32792,0.17247
0.778,3.32715,0.17127
0.78,3.32636,0.17009
0.782,3.32555,0.16896
0.784,3.32473,0.16788
0.786,3.32388,0.16681
0.788,3.32302,0.16571
0.79,3.32214,0.16461
0.792,3.32126,0.16354
0.794,3.32039,0.16256
0.796,3.31952,0.16165
0.798,3.31865,0.16075
0.8,3.31778,0.15981
0.802,3.3169,0.15883
0.804,3.316,0.15785
0.806,3.31506,0.15694
0.808,3.31411,0.15613
0.81,3.31319,0.15544
0.812,3.31238,0.15489
0.814,3.31169,0.15443
0.816,3.31108,0.15393
0.818,3.31051,0.15325
0.82,3.30994,0.15233
0.822,3.30935,0.15132
0.824,3.30869,0.15038
0.826,3.30798,0.1496
0.828,3.30728,0.14896
0.83,3.30667,0.1484
0.832,3.3062,0.14785
0.834,3.30582,0.14721
0.836,3.30544,0.14636
0.838,3.305,0.14522
0.84,3.30446,0.14392
0.842,3.30375,0.14262
0.844,3.30286,0.14145
0.846,3.30184,0.14047
0.848,3.30078,0.13967
0.85,3.29974,0.13908
0.852,3.29879,0.13864
0.854,3.29794,0.13829
0.856,3.29722,0.13796
0.858,3.29663,0.13762
0.86,3.29614,0.13723
0.862,3.29572,0.13676
0.864,3.29537,0.13621
0.866,3.29506,0.1356
0.868,3.29481,0.13493
0.87,3.29454,0.13416
0.872,3.29419,0.13322
0.874,3.29368,0.13204
0.876,3.29298,0.13072
0.878,3.2921,0.12947
0.88,3.29106,0.1285
0.882,3.28993,0.12791
0.884,3.28887,0.12763
0.886,3.28802,0.12759
0.888,3.28742,0.12766
0.89,3.28697,0.12761
0.892,3.28657,0.12725
0.894,3.28616,0.12653
0.896,3.28574,0.12575
0.898,3.28531,0.12521
0.9,3.28492,0.12505
0.902,3.28464,0.12504
0.904,3.28453,0.12492
0.906,3.28464,0.12449
0.908,3.28481,0.12373
0.91,3.28489,0.12265
0.912,3.28475,0.12131
0.914,3.28439,0.11987
0.916,3.28382,0.11854
0.918,3.28308,0.11748
0.92,3.28225,0.11666
0.922,3.28143,0.11601
0.924,3.28068,0.11545
0.926,3.28002,0.11493
0.928,3.27939,0.11439
0.93,3.27879,0.11379
0.932,3.27823,0.11318
0.934,3.27776,0.11267
0.936,3.27741,0.11232
0.938,3.27717,0.11201
0.94,3.27699,0.1115
0.942,3.27683,0.1106
0.944,3.27659,0.10936
0.946,3.27618,0.10799
0.948,3.27549,0.1067
0.95,3.27456,0.10556
0.952,3.27348,0.10452
0.954,3.27239,0.10354
0.956,3.27133,0.1026
0.958,3.27031,0.10171
0.96,3.26932,0.10085
0.962,3.26836,0.10003
0.964,3.26743,0.09925
0.966,3.26654,0.09851
0.968,3.26568,0.0978
0.97,3.26485,0.09713
0.972,3.26405,0.09649
0.974,3.26327,0.09588
0.976,3.26253,0.0953
0.978,3.26181,0.09476
0.98,3.26112,0.09424
0.982,3.26045,0.09375
0.984,3.25981,0.09329
0.986,3.25919,0.09285
0.988,3.25859,0.09244
0.99,3.25802,0.09205
0.992,3.25746,0.09169
0.994,3.25693,0.09134
0.996,3.25642,0.09102
0.998,3.25592,0.09072
1,3.25545,0.09044
1.002,3.25499,0.09017
1.004,3.25455,0.08992
1.006,3.25412,0.08969
1.008,3.25371,0.08947
1.01,3.25331,0.08926
1.012,3.25292,0.08907
1.014,3.25255,0.08889
1.016,3.25218,0.08872
1.018,3.25183,0.08856
1.02,3.25149,0.0884
1.022,3.25116,0.08826
1.024,3.25083,0.08812
1.026,3.25051,0.08798
1.028,3.2502,0.08785
1.03,3.2499,0.08773
1.032,3.2496,0.0876
1.034,3.2493,0.08748
1.036,3.249,0.08736
1.038,3.24871,0.08723
1.04,3.24842,0.08711
1.042,3.24813,0.08698
1.044,3.24785,0.08684
1.046,3.24756,0.08671
1.048,3.24726,0.08656
1.05,3.24697,0.08641
1.052,3.24667,0.08625
1.054,3.24637,0.08608
1.056,3.24607,0.08591
1.058,3.24576,0.08573
1.06,3.24546,0.08554
1.062,3.24515,0.08534
1.064,3.24483,0.08514
1.066,3.24452,0.08493
1.068,3.2442,0.08472
1.07,3.24388,0.0845
1.072,3.24356,0.08427
1.074,3.24324,0.08404
1.076,3.24291,0.0838
1.078,3.24259,0.08356
1.08,3.24226,0.08331
1.082,3.24193,0.08306
1.084,3.24159,0.0828
1.086,3.24126,0.08253
1.088,3.24093,0.08227
1.09,3.24059,0.08199
1.092,3.24026,0.08172
1.094,3.23992,0.08143
1.096,3.23958,0.08115
1.098,3.23924,0.08086
1.1,3.2389,0.08057
1.102,3.23856,0.08027
1.104,3.23822,0.07997
1.106,3.23788,0.07967
1.108,3.23753,0.07936
1.11,3.23719,0.07906
1.112,3.23685,0.07875
1.114,3.2365,0.07843
1.116,3.23616,0.07812
1.118,3.23582,0.0778
1.12,3.23548,0.07748
1.122,3.23513,0.07716
1.124,3.23479,0.07684
1.126,3.23445,0.07651
1.128,3.23411,0.07619
1.13,3.23377,0.07586
1.132,3.23343,0.07553
1.134,3.23309,0.0752
1.136,3.23275,0.07488
1.138,3.23241,0.07455
1.14,3.23208,0.07422
1.142,3.23174,0.07389
1.144,3.23141,0.07356
1.146,3.23108,0.07323
1.148,3.23075,0.0729
1.15,3.23042,0.07257
1.152,3.23009,0.07225
1.154,3.22976,0.07192
1.156,3.22944,0.07159
1.158,3.22911,0.07127
1.16,3.22879,0.07095
1.162,3.22848,0.07063
1.164,3.22816,0.07031
1.166,3.22785,0.06999
1.168,3.22753,0.06967
1.17,3.22722,0.06936
1.172,3.22692,0.06905
1.174,3.22661,0.06874
1.176,3.22631,0.06843
1.178,3.22601,0.06813
1.18,3.22571,0.06783
1.182,3.22541,0.06753
1.184,3.22512,0.06723
1.186,3.22483,0.06693
1.188,3.22454,0.06663
1.19,3.22425,0.06634
