wl,n,k
1.026,3.56122,2.76E-04
1.028,3.56061,2.62E-04
1.03,3.56,2.48E-04
1.032,3.5594,2.34E-04
1.034,3.5588,2.22E-04
1.036,3.5582,2.10E-04
1.038,3.5576,1.98E-04
1.04,3.557,1.87E-04
1.042,3.5564,1.76E-04
1.044,3.5558,1.66E-04
1.046,3.5552,1.56E-04
1.048,3.5546,1.46E-04
1.05,3.554,1.36E-04
1.052,3.55341,1.27E-04
1.054,3.55282,1.18E-04
1.056,3.55222,1.09E-04
1.058,3.55162,1.01E-04
1.06,3.551,9.36E-05
1.062,3.55037,8.71E-05
1.064,3.54974,8.14E-05
1.066,3.54912,7.64E-05
1.068,3.54854,7.20E-05
1.07,3.548,6.81E-05
1.072,3.54752,6.46E-05
1.074,3.54709,6.15E-05
1.076,3.5467,5.86E-05
1.078,3.54634,5.59E-05
1.08,3.546,5.33E-05
1.082,3.54566,5.07E-05
1.084,3.54531,4.82E-05
1.086,3.54492,4.56E-05
1.088,3.54449,4.32E-05
1.09,3.544,4.08E-05
1.092,3.54343,3.85E-05
1.094,3.54282,3.63E-05
1.096,3.54219,3.43E-05
1.098,3.54157,3.23E-05
1.1,3.541,3.06E-05
1.102,3.5405,2.90E-05
1.104,3.54007,2.76E-05
1.106,3.53969,2.63E-05
1.108,3.53934,2.50E-05
1.11,3.539,2.38E-05
1.112,3.53866,2.25E-05
1.114,3.53831,2.13E-05
1.116,3.53793,2.00E-05
1.118,3.5375,1.89E-05
1.12,3.537,1.78E-05
1.122,3.53643,1.68E-05
1.124,3.53581,1.60E-05
1.126,3.53518,1.52E-05
1.128,3.53456,1.43E-05
1.13,3.534,1.35E-05
1.132,3.53351,1.26E-05
1.134,3.53309,1.17E-05
1.136,3.53272,1.08E-05
1.138,3.53236,9.87E-06
1.14,3.532,9.07E-06
1.142,3.53162,8.37E-06
1.144,3.53123,7.76E-06
1.146,3.53082,7.21E-06
1.148,3.53041,6.71E-06
1.15,3.53,6.22E-06
1.152,3.52959,5.73E-06
1.154,3.52919,5.25E-06
1.156,3.52879,4.77E-06
1.158,3.52839,4.31E-06
1.16,3.528,3.88E-06
1.162,3.52761,3.48E-06
1.164,3.52722,3.10E-06
1.166,3.52683,2.74E-06
1.168,3.52642,2.39E-06
1.17,3.526,2.05E-06
1.172,3.52556,1.71E-06
1.174,3.52512,1.38E-06
1.176,3.5247,1.07E-06
