wl,n,k
0.858,2.4706,2.00E-07
0.86,2.47,2.00E-07
0.862,2.4698,2.00E-07
0.864,2.4696,2.00E-07
0.866,2.4694,2.00E-07
0.868,2.4692,2.00E-07
0.87,2.469,2.00E-07
0.872,2.4688,2.00E-07
0.874,2.4686,2.00E-07
0.876,2.4684,2.00E-07
0.878,2.4682,2.00E-07
0.88,2.468,2.00E-07
0.882,2.4678,2.00E-07
0.884,2.4676,2.00E-07
0.886,2.4674,2.00E-07
0.888,2.4672,2.00E-07
0.89,2.467,2.00E-07
0.892,2.4668,2.00E-07
0.894,2.4666,2.00E-07
0.896,2.4664,2.00E-07
0.898,2.4662,2.00E-07
0.9,2.466,2.00E-07
0.902,2.4658,2.00E-07
0.904,2.4656,2.00E-07
0.906,2.4654,2.00E-07
0.908,2.4652,2.00E-07
0.91,2.465,2.00E-07
0.912,2.4648,2.00E-07
0.914,2.4646,2.00E-07
0.916,2.4644,2.00E-07
0.918,2.4642,2.00E-07
0.92,2.464,2.00E-07
0.922,2.464,2.00E-07
0.924,2.464,2.00E-07
0.926,2.464,2.00E-07
0.928,2.464,2.00E-07
0.93,2.464,2.00E-07
0.932,2.464,2.00E-07
0.934,2.464,2.00E-07
0.936,2.464,2.00E-07
0.938,2.464,2.00E-07
0.94,2.464,2.00E-07
0.942,2.464,2.00E-07
0.944,2.464,2.00E-07
0.946,2.464,2.00E-07
0.948,2.464,2.00E-07
0.95,2.464,2.00E-07
0.952,2.464,2.00E-07
0.954,2.464,2.00E-07
0.956,2.464,2.00E-07
0.958,2.464,2.00E-07
0.96,2.464,2.00E-07
0.962,2.4638,2.00E-07
0.964,2.4636,2.00E-07
0.966,2.4634,2.00E-07
0.968,2.4632,2.00E-07
0.97,2.463,2.00E-07
0.972,2.4628,2.00E-07
0.974,2.4626,2.00E-07
0.976,2.4624,2.00E-07
0.978,2.4622,2.00E-07
0.98,2.462,2.00E-07
0.982,2.4619,2.00E-07
0.984,2.4618,2.00E-07
0.986,2.4617,2.00E-07
0.988,2.4616,2.00E-07
0.99,2.4615,2.00E-07
0.992,2.4614,2.00E-07
0.994,2.4613,2.00E-07
0.996,2.4612,2.00E-07
0.998,2.4611,2.00E-07
1,2.461,2.00E-07
1.002,2.4609,2.00E-07
1.004,2.4608,2.00E-07
1.006,2.4607,2.00E-07
1.008,2.4606,2.00E-07
1.01,2.4605,2.00E-07
1.012,2.4604,2.00E-07
1.014,2.4603,2.00E-07
1.016,2.4602,2.00E-07
1.018,2.4601,2.00E-07
1.02,2.46,2.00E-07
1.022,2.4599,1.90E-07
1.024,2.4598,1.80E-07
1.026,2.4597,1.70E-07
1.028,2.4596,1.60E-07
1.03,2.4595,1.50E-07
1.032,2.4594,1.40E-07
1.034,2.4593,1.30E-07
1.036,2.4592,1.20E-07
1.038,2.4591,1.10E-07
1.04,2.459,1.00E-07
1.042,2.459,1.00E-07
1.044,2.459,1.00E-07
1.046,2.459,1.00E-07
1.048,2.459,1.00E-07
1.05,2.459,1.00E-07
1.052,2.459,1.00E-07
1.054,2.459,1.00E-07
1.056,2.459,1.00E-07
1.058,2.459,1.00E-07
1.06,2.459,1.00E-07
1.062,2.4589,1.00E-07
1.064,2.4588,1.00E-07
1.066,2.4587,1.00E-07
1.068,2.4586,1.00E-07
1.07,2.4585,1.00E-07
1.072,2.4584,1.00E-07
1.074,2.4583,1.00E-07
1.076,2.4582,1.00E-07
1.078,2.4581,1.00E-07
1.08,2.458,1.00E-07
1.082,2.458,1.00E-07
1.084,2.458,1.00E-07
1.086,2.458,1.00E-07
1.088,2.458,1.00E-07
1.09,2.458,1.00E-07
1.092,2.458,1.00E-07
1.094,2.458,1.00E-07
1.096,2.458,1.00E-07
1.098,2.458,1.00E-07
1.1,2.458,1.00E-07
1.102,2.458,1.00E-07
1.104,2.458,1.00E-07
1.106,2.458,1.00E-07
1.108,2.458,1.00E-07
1.11,2.458,1.00E-07
1.112,2.458,1.00E-07
1.114,2.458,1.00E-07
1.116,2.458,1.00E-07
1.118,2.458,1.00E-07
1.12,2.458,1.00E-07
1.122,2.4579,1.00E-07
1.124,2.4578,1.00E-07
1.126,2.4577,1.00E-07
1.128,2.4576,1.00E-07
1.13,2.4575,1.00E-07
1.132,2.4574,1.00E-07
1.134,2.4573,1.00E-07
1.136,2.4572,1.00E-07
1.138,2.4571,1.00E-07
1.14,2.457,1.00E-07
1.142,2.4569,1.00E-07
1.144,2.4568,1.00E-07
1.146,2.4567,1.00E-07
1.148,2.4566,1.00E-07
1.15,2.4565,1.00E-07
1.152,2.4564,1.00E-07
1.154,2.4563,1.00E-07
1.156,2.4562,1.00E-07
1.158,2.4561,1.00E-07
1.16,2.456,1.00E-07
1.162,2.456,1.00E-07
1.164,2.456,1.00E-07
1.166,2.456,1.00E-07
1.168,2.456,1.00E-07
1.17,2.456,1.00E-07
1.172,2.456,1.00E-07
1.174,2.456,1.00E-07
1.176,2.456,1.00E-07
1.178,2.456,1.00E-07
1.18,2.456,1.00E-07
1.182,2.4558,1.00E-07
1.184,2.4556,1.00E-07
1.186,2.4554,1.00E-07
1.188,2.4552,1.00E-07
1.19,2.455,1.00E-07
1.192,2.4548,1.00E-07
1.194,2.4546,1.00E-07
1.196,2.4544,1.00E-07
1.198,2.4542,1.00E-07
1.2,2.454,1.00E-07
1.202,2.454,1.00E-07
1.204,2.454,1.00E-07
1.206,2.454,1.00E-07
1.208,2.454,1.00E-07
1.21,2.454,1.00E-07
1.212,2.454,1.00E-07
1.214,2.454,1.00E-07
1.216,2.454,1.00E-07
1.218,2.454,1.00E-07
1.22,2.454,1.00E-07
1.222,2.4539,1.00E-07
1.224,2.4538,1.00E-07
1.226,2.4537,1.00E-07
1.228,2.4536,1.00E-07
1.23,2.4535,1.00E-07
1.232,2.4534,1.00E-07
1.234,2.4533,1.00E-07
1.236,2.4532,1.00E-07
1.238,2.4531,1.00E-07
1.24,2.453,1.00E-07
1.242,2.4529,1.00E-07
1.244,2.4528,1.00E-07
1.246,2.4527,1.00E-07
1.248,2.4526,1.00E-07
1.25,2.4525,1.00E-07
1.252,2.4524,1.00E-07
1.254,2.4523,1.00E-07
1.256,2.4522,1.00E-07
1.258,2.4521,1.00E-07
1.26,2.452,1.00E-07
1.262,2.4519,1.00E-07
1.264,2.4518,1.00E-07
1.266,2.4517,1.00E-07
1.268,2.4516,1.00E-07
1.27,2.4515,1.00E-07
1.272,2.4514,1.00E-07
1.274,2.4513,1.00E-07
1.276,2.4512,1.00E-07
1.278,2.4511,1.00E-07
1.28,2.451,1.00E-07
1.282,2.4509,1.00E-07
1.284,2.4508,1.00E-07
1.286,2.4507,1.00E-07
1.288,2.4506,1.00E-07
1.29,2.4505,1.00E-07
1.292,2.4504,1.00E-07
1.294,2.4503,1.00E-07
1.296,2.4502,1.00E-07
1.298,2.4501,1.00E-07
1.3,2.45,1.00E-07
1.302,2.4499,9.00E-08
1.304,2.4498,8.00E-08
1.306,2.4497,7.00E-08
1.308,2.4496,6.00E-08
1.31,2.4495,5.00E-08
1.312,2.4494,4.00E-08
1.314,2.4493,3.00E-08
1.316,2.4492,2.00E-08
1.318,2.4491,1.00E-08
1.32,2.449,0
1.322,2.449,0
1.324,2.449,0
1.326,2.449,0
1.328,2.449,0
1.33,2.449,0
1.332,2.449,0
1.334,2.449,0
1.336,2.449,0
1.338,2.449,0
1.34,2.449,0.00E+00
1.342,2.4489,0.00E+00
1.344,2.4488,0.00E+00
1.346,2.4487,0.00E+00
1.348,2.4486,0.00E+00
1.35,2.4485,0.00E+00
1.352,2.4484,0.00E+00
1.354,2.4483,0.00E+00
1.356,2.4482,0.00E+00
1.358,2.4481,0.00E+00
1.36,2.448,0
1.362,2.448,0
1.364,2.448,0
1.366,2.448,0
1.368,2.448,0
1.37,2.448,0
1.372,2.448,0
1.374,2.448,0
1.376,2.448,0
1.378,2.448,0
1.38,2.448,0.00E+00
1.382,2.4479,0.00E+00
1.384,2.4478,0.00E+00
1.386,2.4477,0.00E+00
1.388,2.4476,0.00E+00
1.39,2.4475,0.00E+00
1.392,2.4474,0.00E+00
1.394,2.4473,0.00E+00
1.396,2.4472,0.00E+00
1.398,2.4471,0.00E+00
1.4,2.447,0
1.402,2.447,0
1.404,2.447,0
1.406,2.447,0
1.408,2.447,0
1.41,2.447,0
1.412,2.447,0
1.414,2.447,0
1.416,2.447,0
1.418,2.447,0
1.42,2.447,0.00E+00
1.422,2.4469,0.00E+00
1.424,2.4468,0.00E+00
1.426,2.4467,0.00E+00
1.428,2.4466,0.00E+00
1.43,2.4465,0.00E+00
1.432,2.4464,0.00E+00
1.434,2.4463,0.00E+00
1.436,2.4462,0.00E+00
1.438,2.4461,0.00E+00
1.44,2.446,0
1.442,2.4459,0
1.444,2.4458,0
1.446,2.4457,0
1.448,2.4456,0
1.45,2.4455,0
1.452,2.4454,0
1.454,2.4453,0
1.456,2.4452,0
1.458,2.4451,0
1.46,2.445,0.00E+00
1.462,2.445,0.00E+00
1.464,2.445,0.00E+00
1.466,2.445,0.00E+00
1.468,2.445,0.00E+00
1.47,2.445,0.00E+00
1.472,2.445,0.00E+00
1.474,2.445,0.00E+00
1.476,2.445,0.00E+00
1.478,2.445,0.00E+00
1.48,2.445,0
1.482,2.4449,0
1.484,2.4448,0
1.486,2.4447,0
1.488,2.4446,0
1.49,2.4445,0
1.492,2.4444,0
1.494,2.4443,0
1.496,2.4442,0
1.498,2.4441,0
1.5,2.444,0.00E+00
1.502,2.444,0.00E+00
1.504,2.444,0.00E+00
1.506,2.444,0.00E+00
1.508,2.444,0.00E+00
1.51,2.444,0.00E+00
1.512,2.444,0.00E+00
1.514,2.444,0.00E+00
1.516,2.444,0.00E+00
1.518,2.444,0.00E+00
1.52,2.444,0
1.522,2.444,0
1.524,2.444,0
1.526,2.444,0
1.528,2.444,0
1.53,2.444,0
1.532,2.444,0
1.534,2.444,0
1.536,2.444,0
1.538,2.444,0
1.54,2.444,0.00E+00
1.542,2.4439,0.00E+00
1.544,2.4438,0.00E+00
1.546,2.4437,0.00E+00
1.548,2.4436,0.00E+00
1.55,2.4435,0.00E+00
1.552,2.4434,0.00E+00
1.554,2.4433,0.00E+00
1.556,2.4432,0.00E+00
1.558,2.4431,0.00E+00
1.56,2.443,0
1.562,2.4428,0
1.564,2.4426,0
1.566,2.4424,0
1.568,2.4422,0
1.57,2.442,0
1.572,2.4418,0
1.574,2.4416,0
1.576,2.4414,0
1.578,2.4412,0
1.58,2.441,0.00E+00
1.582,2.441,0.00E+00
1.584,2.441,0.00E+00
1.586,2.441,0.00E+00
1.588,2.441,0.00E+00
1.59,2.441,0.00E+00
1.592,2.441,0.00E+00
1.594,2.441,0.00E+00
1.596,2.441,0.00E+00
1.598,2.441,0.00E+00
1.6,2.441,0
1.602,2.4409,0
1.604,2.4408,0
1.606,2.4407,0
1.608,2.4406,0
1.61,2.4405,0
1.612,2.4404,0
1.614,2.4403,0
1.616,2.4402,0
1.618,2.4401,0
1.62,2.44,0.00E+00
1.622,2.4399,0.00E+00
1.624,2.4398,0.00E+00
1.626,2.4397,0.00E+00
1.628,2.4396,0.00E+00
1.63,2.4395,0.00E+00
1.632,2.4394,0.00E+00
1.634,2.4393,0.00E+00
1.636,2.4392,0.00E+00
1.638,2.4391,0.00E+00
1.64,2.439,0
1.642,2.439,0
1.644,2.439,0
1.646,2.439,0
1.648,2.439,0
1.65,2.439,0
1.652,2.439,0
1.654,2.439,0
1.656,2.439,0
1.658,2.439,0
1.66,2.439,0.00E+00
1.662,2.4389,0.00E+00
1.664,2.4388,0.00E+00
1.666,2.4387,0.00E+00
1.668,2.4386,0.00E+00
1.67,2.4385,0.00E+00
1.672,2.4384,0.00E+00
1.674,2.4383,0.00E+00
1.676,2.4382,0.00E+00
1.678,2.4381,0.00E+00
1.68,2.438,0
1.682,2.438,0
1.684,2.438,0
1.686,2.438,0
1.688,2.438,0
1.69,2.438,0
1.692,2.438,0
1.694,2.438,0
1.696,2.438,0
1.698,2.438,0
1.7,2.438,0.00E+00
1.702,2.4379,0.00E+00
1.704,2.4378,0.00E+00
1.706,2.4377,0.00E+00
