wl,n,k
0.776,2.34609,0.00E+00
0.778,2.34566,0.00E+00
0.78,2.34524,0.00E+00
0.782,2.34483,0.00E+00
0.784,2.34441,0.00E+00
0.786,2.34401,0.00E+00
0.788,2.3436,0.00E+00
0.79,2.3432,0.00E+00
0.792,2.3428,0.00E+00
0.794,2.3424,0.00E+00
0.796,2.34201,0.00E+00
0.798,2.34162,0.00E+00
0.8,2.34123,0.00E+00
0.802,2.34085,0.00E+00
0.804,2.34047,0.00E+00
0.806,2.34009,0.00E+00
0.808,2.33971,0.00E+00
0.81,2.33934,0.00E+00
0.812,2.33897,0.00E+00
0.814,2.33861,0.00E+00
0.816,2.33824,0.00E+00
0.818,2.33788,0.00E+00
0.82,2.33753,0.00E+00
0.822,2.33717,0.00E+00
0.824,2.33682,0.00E+00
0.826,2.33647,0.00E+00
0.828,2.33612,0.00E+00
0.83,2.33578,0.00E+00
0.832,2.33544,0.00E+00
0.834,2.3351,0.00E+00
0.836,2.33476,0.00E+00
0.838,2.33443,0.00E+00
0.84,2.33409,0.00E+00
0.842,2.33376,0.00E+00
0.844,2.33344,0.00E+00
0.846,2.33311,0.00E+00
0.848,2.33279,0.00E+00
0.85,2.33247,0.00E+00
0.852,2.33215,0.00E+00
0.854,2.33184,0.00E+00
0.856,2.33153,0.00E+00
0.858,2.33122,0.00E+00
0.86,2.33091,0.00E+00
0.862,2.3306,0.00E+00
0.864,2.3303,0.00E+00
0.866,2.32999,0.00E+00
0.868,2.3297,0.00E+00
0.87,2.3294,0.00E+00
0.872,2.3291,0.00E+00
0.874,2.32881,0.00E+00
0.876,2.32852,0.00E+00
0.878,2.32823,0.00E+00
0.88,2.32794,0.00E+00
0.882,2.32765,0.00E+00
0.884,2.32737,0.00E+00
0.886,2.32709,0.00E+00
0.888,2.32681,0.00E+00
0.89,2.32653,0.00E+00
0.892,2.32625,0.00E+00
0.894,2.32598,0.00E+00
0.896,2.32571,0.00E+00
0.898,2.32544,0.00E+00
0.9,2.32517,0.00E+00
0.902,2.3249,0.00E+00
0.904,2.32464,0.00E+00
0.906,2.32437,0.00E+00
0.908,2.32411,0.00E+00
0.91,2.32385,0.00E+00
0.912,2.32359,0.00E+00
0.914,2.32334,0.00E+00
0.916,2.32308,0.00E+00
0.918,2.32283,0.00E+00
0.92,2.32257,0.00E+00
0.922,2.32232,0.00E+00
0.924,2.32208,0.00E+00
0.926,2.32183,0.00E+00
0.928,2.32158,0.00E+00
0.93,2.32134,0.00E+00
0.932,2.3211,0.00E+00
0.934,2.32085,0.00E+00
0.936,2.32062,0.00E+00
0.938,2.32038,0.00E+00
0.94,2.32014,0.00E+00
0.942,2.31991,0.00E+00
0.944,2.31967,0.00E+00
0.946,2.31944,0.00E+00
0.948,2.31921,0.00E+00
0.95,2.31898,0.00E+00
0.952,2.31875,0.00E+00
0.954,2.31852,0.00E+00
0.956,2.3183,0.00E+00
0.958,2.31807,0.00E+00
0.96,2.31785,0.00E+00
0.962,2.31763,0.00E+00
0.964,2.31741,0.00E+00
0.966,2.31719,0.00E+00
0.968,2.31697,0.00E+00
0.97,2.31676,0.00E+00
0.972,2.31654,0.00E+00
0.974,2.31633,0.00E+00
0.976,2.31612,0.00E+00
0.978,2.3159,0.00E+00
0.98,2.31569,0.00E+00
0.982,2.31548,0.00E+00
0.984,2.31528,0.00E+00
0.986,2.31507,0.00E+00
0.988,2.31486,0.00E+00
0.99,2.31466,0.00E+00
0.992,2.31446,0.00E+00
0.994,2.31425,0.00E+00
0.996,2.31405,0.00E+00
0.998,2.31385,0.00E+00
1,2.31366,0.00E+00
1.002,2.31346,0.00E+00
1.004,2.31326,0.00E+00
1.006,2.31307,0.00E+00
1.008,2.31287,0.00E+00
1.01,2.31268,0.00E+00
1.012,2.31249,0.00E+00
1.014,2.3123,0.00E+00
1.016,2.3121,0.00E+00
1.018,2.31192,0.00E+00
1.02,2.31173,0.00E+00
1.022,2.31154,0.00E+00
1.024,2.31135,0.00E+00
1.026,2.31117,0.00E+00
1.028,2.31098,0.00E+00
1.03,2.3108,0.00E+00
1.032,2.31062,0.00E+00
1.034,2.31044,0.00E+00
1.036,2.31026,0.00E+00
1.038,2.31008,0.00E+00
1.04,2.3099,0.00E+00
1.042,2.30972,0.00E+00
1.044,2.30954,0.00E+00
1.046,2.30937,0.00E+00
1.048,2.30919,0.00E+00
1.05,2.30902,0.00E+00
1.052,2.30884,0.00E+00
1.054,2.30867,0.00E+00
1.056,2.3085,0.00E+00
1.058,2.30833,0.00E+00
1.06,2.30816,0.00E+00
1.062,2.30799,0.00E+00
1.064,2.30782,0.00E+00
1.066,2.30765,0.00E+00
1.068,2.30749,0.00E+00
1.07,2.30732,0.00E+00
1.072,2.30716,0.00E+00
1.074,2.30699,0.00E+00
1.076,2.30683,0.00E+00
1.078,2.30667,0.00E+00
1.08,2.3065,0.00E+00
1.082,2.30634,0.00E+00
1.084,2.30618,0.00E+00
1.086,2.30602,0.00E+00
1.088,2.30586,0.00E+00
1.09,2.3057,0.00E+00
1.092,2.30555,0.00E+00
1.094,2.30539,0.00E+00
1.096,2.30523,0.00E+00
1.098,2.30508,0.00E+00
1.1,2.30493,0.00E+00
1.102,2.30477,0.00E+00
1.104,2.30462,0.00E+00
1.106,2.30447,0.00E+00
1.108,2.30431,0.00E+00
1.11,2.30416,0.00E+00
1.112,2.30401,0.00E+00
1.114,2.30386,0.00E+00
1.116,2.30371,0.00E+00
1.118,2.30356,0.00E+00
1.12,2.30342,0.00E+00
1.122,2.30327,0.00E+00
1.124,2.30312,0.00E+00
1.126,2.30298,0.00E+00
1.128,2.30283,0.00E+00
1.13,2.30269,0.00E+00
1.132,2.30254,0.00E+00
1.134,2.3024,0.00E+00
1.136,2.30226,0.00E+00
1.138,2.30211,0.00E+00
1.14,2.30197,0.00E+00
1.142,2.30183,0.00E+00
1.144,2.30169,0.00E+00
1.146,2.30155,0.00E+00
1.148,2.30141,0.00E+00
1.15,2.30127,0.00E+00
1.152,2.30114,0.00E+00
1.154,2.301,0.00E+00
1.156,2.30086,0.00E+00
1.158,2.30072,0.00E+00
1.16,2.30059,0.00E+00
1.162,2.30045,0.00E+00
1.164,2.30032,0.00E+00
1.166,2.30018,0.00E+00
1.168,2.30005,0.00E+00
1.17,2.29992,0.00E+00
