wl,n,k
0.912,2.3004,0.012
0.914,2.3003,0.012
0.916,2.3002,0.012
0.918,2.3001,0.012
0.92,2.3,0.012
0.922,2.2999,0.0121
0.924,2.2998,0.0122
0.926,2.2997,0.0123
0.928,2.2996,0.0124
0.93,2.2995,0.0125
0.932,2.2994,0.0126
0.934,2.2993,0.0127
0.936,2.2992,0.0128
0.938,2.2991,0.0129
0.94,2.299,0.013
0.942,2.2989,0.0131
0.944,2.2988,0.0132
0.946,2.2987,0.0133
0.948,2.2986,0.0134
0.95,2.2985,0.0135
0.952,2.2984,0.0136
0.954,2.2983,0.0137
0.956,2.2982,0.0138
0.958,2.2981,0.0139
0.96,2.298,0.014
0.962,2.298,0.0141
0.964,2.298,0.0142
0.966,2.298,0.0143
0.968,2.298,0.0144
0.97,2.298,0.0145
0.972,2.298,0.0146
0.974,2.298,0.0147
0.976,2.298,0.0148
0.978,2.298,0.0149
0.98,2.298,0.015
0.982,2.298,0.0151
0.984,2.298,0.0152
0.986,2.298,0.0153
0.988,2.298,0.0154
0.99,2.298,0.0155
0.992,2.298,0.0156
0.994,2.298,0.0157
0.996,2.298,0.0158
0.998,2.298,0.0159
1,2.298,0.016
1.002,2.298,0.016
1.004,2.298,0.016
1.006,2.298,0.016
1.008,2.298,0.016
1.01,2.298,0.016
1.012,2.298,0.016
1.014,2.298,0.016
1.016,2.298,0.016
1.018,2.298,0.016
1.02,2.298,0.016
1.022,2.2981,0.0159
1.024,2.2982,0.0158
1.026,2.2983,0.0157
1.028,2.2984,0.0156
1.03,2.2985,0.0155
1.032,2.2986,0.0154
1.034,2.2987,0.0153
1.036,2.2988,0.0152
1.038,2.2989,0.0151
1.04,2.299,0.015
1.042,2.299,0.015
1.044,2.299,0.015
1.046,2.299,0.015
1.048,2.299,0.015
1.05,2.299,0.015
1.052,2.299,0.015
1.054,2.299,0.015
1.056,2.299,0.015
1.058,2.299,0.015
1.06,2.299,0.015
1.062,2.299,0.0149
1.064,2.299,0.0148
1.066,2.299,0.0147
1.068,2.299,0.0146
1.07,2.299,0.0145
1.072,2.299,0.0144
1.074,2.299,0.0143
1.076,2.299,0.0142
1.078,2.299,0.0141
1.08,2.299,0.014
1.082,2.299,0.014
1.084,2.299,0.014
1.086,2.299,0.014
1.088,2.299,0.014
1.09,2.299,0.014
1.092,2.299,0.014
1.094,2.299,0.014
1.096,2.299,0.014
1.098,2.299,0.014
1.1,2.299,0.014
1.102,2.299,0.0139
1.104,2.299,0.0138
1.106,2.299,0.0137
1.108,2.299,0.0136
1.11,2.299,0.0135
1.112,2.299,0.0134
1.114,2.299,0.0133
1.116,2.299,0.0132
1.118,2.299,0.0131
1.12,2.299,0.013
1.122,2.299,0.0129
1.124,2.299,0.0128
1.126,2.299,0.0127
1.128,2.299,0.0126
1.13,2.299,0.0125
1.132,2.299,0.0124
1.134,2.299,0.0123
1.136,2.299,0.0122
1.138,2.299,0.0121
1.14,2.299,0.012
1.142,2.299,0.0118
1.144,2.299,0.0116
1.146,2.299,0.0114
1.148,2.299,0.0112
1.15,2.299,0.011
1.152,2.299,0.0108
1.154,2.299,0.0106
1.156,2.299,0.0104
1.158,2.299,0.0102
1.16,2.299,0.01
1.162,2.2989,0.01
1.164,2.2988,0.01
1.166,2.2987,0.01
1.168,2.2986,0.01
1.17,2.2985,0.01
1.172,2.2984,0.01
1.174,2.2983,0.01
1.176,2.2982,0.01
1.178,2.2981,0.01
1.18,2.298,0.01
1.182,2.298,0.0099
1.184,2.298,0.0098
1.186,2.298,0.0097
1.188,2.298,0.0096
1.19,2.298,0.0095
1.192,2.298,0.0094
1.194,2.298,0.0093
1.196,2.298,0.0092
1.198,2.298,0.0091
1.2,2.298,0.009
1.202,2.2979,0.0089
1.204,2.2978,0.0088
1.206,2.2977,0.0087
1.208,2.2976,0.0086
1.21,2.2975,0.0085
1.212,2.2974,0.0084
1.214,2.2973,0.0083
1.216,2.2972,0.0082
1.218,2.2971,0.0081
1.22,2.297,0.008
1.222,2.297,0.0079
1.224,2.297,0.0078
1.226,2.297,0.0077
1.228,2.297,0.0076
1.23,2.297,0.0075
1.232,2.297,0.0074
